name,type,events,total_artists,notable_artists,is_target
Slow Club,venue,177,40,8,False
Zt Hotel + Wolf Club,venue,1,8,8,False
9D9,venue,14,24,8,False
Audiodise Beach Club Playa del Forum,venue,4,13,8,False
TBA - SIDERAL,venue,18,41,8,False
THE DIGGIN' CREW,promoter,11,29,8,False
Glamour Freaks,promoter,167,38,8,False
Slow Club Barcelona,promoter,175,40,8,False
MUTEK.ES,promoter,2,10,8,False
Poly-Rythmo Club,promoter,7,14,8,False
BAF! Entertainment Company,promoter,8,24,8,False
Cupula Recordings,promoter,11,21,8,False
Outopia,promoter,2,12,8,False
YO•YO colectivo,promoter,3,17,8,False
SEGUIM Records,promoter,13,22,8,False
GMC WORLDWIDE PRODUCTIONS SL,promoter,4,15,8,False
Eastenderz,promoter,1,8,8,False
You&Me,promoter,1,8,8,False
Hayes,promoter,1,14,8,False
SELECTORS,promoter,1,12,8,False
Placa Major de Nou Barris,venue,5,9,7,False
Chica Club,venue,16,24,7,False
Nica,venue,10,21,7,False
Wolv Barcelona,venue,3,18,7,False
W Barcelona,venue,7,11,7,False
"TBA - Sant Jordi Desvalls, Girona",venue,2,10,7,False
L'amagatall DE CAL Tonedor,venue,6,26,7,False
Bünker Mataró,venue,6,17,7,False
Atlas Presenta,promoter,5,12,7,False
Perros Disquería,promoter,5,14,7,False
Ameba Bcn,promoter,11,29,7,False
Underground Rebels,promoter,5,14,7,False
Automata Drum & Bass,promoter,10,11,7,False
HOPE,promoter,42,28,7,False
Mechatronica Music,promoter,1,10,7,False
ELFENCI,promoter,13,23,7,False
ROSTRO,promoter,4,15,7,False
Siku,promoter,8,25,7,False
Dimensions,promoter,1,7,7,False
bamboleo,promoter,2,9,7,False
MVSON EVENTS,promoter,1,8,7,False
Berg Audio,promoter,1,8,7,False
Midnight Entertainment,promoter,2,10,7,False
Menosmal Production,promoter,2,9,7,False
CULPA,promoter,1,12,7,False
MAREO,promoter,1,12,7,False
Girltoy,promoter,1,12,7,False
Hivernacle Pop Up Club Barcelona,promoter,2,7,7,False
Buena Onda Social Club,venue,32,73,6,False
Imperial Private Club,venue,41,47,6,False
Can Tarranc,venue,3,9,6,False
Sabadell,venue,3,16,6,False
MiradorBCN,promoter,9,25,6,False
The Kitchen,promoter,5,10,6,False
Terminal MX,promoter,3,15,6,False
WARM,promoter,4,9,6,False
STUDIO 79,promoter,56,34,6,False
Outcast Torino,promoter,2,8,6,False
334533BCN,promoter,10,12,6,False
Associació Juvenil Sabadell Sona Jove,promoter,2,15,6,False
Troopers,promoter,10,20,6,False
Afrodanz,promoter,6,11,6,False
MyGarage,promoter,4,18,6,False
ITALO MODERNI,promoter,5,10,6,False
Paralel Agency Bcn,promoter,4,12,6,False
After Caposile,promoter,1,7,6,False
Dskonnect,promoter,1,7,6,False
Half Baked,promoter,2,6,6,False
INPUT,promoter,3,9,6,False
Metrica,promoter,1,8,6,False
Distrikt Paris,promoter,1,8,6,False
somewhere...,promoter,1,8,6,False
23 Degrees,promoter,1,13,6,False
01366,promoter,9,15,6,False
bsideworld,promoter,2,32,6,False
sideral.bcn,promoter,19,35,6,False
REDSESSIONSCOMMUNITY,promoter,8,19,6,False
Mala Junta,promoter,1,8,6,False
leftbank_tbs,promoter,1,11,6,False
CaliuFest,promoter,1,9,6,False
Keep Hush,promoter,2,17,6,False
The Supermercat Raval,venue,104,63,5,False
